date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:47:11,marvellous997,,0,0,0,"Weekend Roundup: Refugees Redefine Europe : America was once regarded as a welcoming… http:// goo.gl/fb/YazzYN",,,,642484565571862528,https://twitter.com/marvellous997/status/642484565571862528
2015-09-11 23:47:04,jfweber,WeAsk4Justice,0,0,0,"Evict Assad solve Europe 's refugee problem. Put Assad in jail in the Hague! let justice rule, even in Europe . https:// twitter.com/WeAsk4Justice/ status/642332256032399360 …",,,,642484534022414336,https://twitter.com/jfweber/status/642484534022414336
2015-09-11 23:46:43,HillaryGuess,fakeconsultant,0,0,1,"@fakeconsultant Refugees in Europe has some $$2 leave-4 the poor who knows the horror @Lucretius4 @Fixer_guy",,@fakeconsultant @Lucretius4 @Fixer_guy,,642484444612268036,https://twitter.com/HillaryGuess/status/642484444612268036
2015-09-11 23:46:36,GPMonitor,,0,2,0,"#Europe ’s Open Door #Refugee Policy & the Threat of #Terrorism http://www. geopoliticalmonitor.com/infiltrating-t he-west-europes-open-door-refugee-policy-and-the-threat-of-terrorism/ … #September11 #migrantcrisis pic.twitter.com/KJRAiSt1FW",,,#Europe #Refugee #Terrorism #September11 #migrantcrisis,642484416850345984,https://twitter.com/GPMonitor/status/642484416850345984
2015-09-11 23:46:30,psychesilva,,0,0,0,"Weekend Roundup: Refugees Redefine Europe - America was once regarded as a welcoming immigrant nation where races ... http:// ow.ly/341cXb",,,,642484393173499904,https://twitter.com/psychesilva/status/642484393173499904
2015-09-11 23:46:17,Bruce_Remington,,0,0,0,"Weekend Roundup: Refugees Redefine Europe http:// ht.ly/341cUV",,,,642484339289288704,https://twitter.com/Bruce_Remington/status/642484339289288704
2015-09-11 23:45:32,MarketWatch,,1,6,10,"Watch: Why Europe ’s refugee crisis is happening now http:// on.mktw.net/1Qt6ErA pic.twitter.com/OZn6HvoToI",,,,642484147152359425,https://twitter.com/MarketWatch/status/642484147152359425
2015-09-11 23:43:50,myamigo_music,,0,0,0,"MAIL ... Europe should expect 'millions and millions' more refugees from Syria: The UN official's claim that E... http://www. myamigouk.com",,,,642483722168565760,https://twitter.com/myamigo_music/status/642483722168565760
2015-09-11 23:43:43,BitcoinAndSo,,0,0,0,"BitNation's Emergency Refugee Responds to Europe 's Lack of Union... http:// goo.gl/OixrEe ... pic.twitter.com/Ig06pKmaGG",,,,642483692619829248,https://twitter.com/BitcoinAndSo/status/642483692619829248
2015-09-11 23:43:40,nathaliapandelo,,0,0,1,"Understanding the Refugee Crisis in Europe , Syria, and around the World - por John Green http:// youtu.be/KVV6_1Sef9M",,,,642483679084871680,https://twitter.com/nathaliapandelo/status/642483679084871680
2015-09-11 23:41:16,MGedi_,,0,0,0,"Reality Check: U.S. Policies In Middle East Responsible for #Refugee Crisis In #Europe - https:// youtu.be/n_FmtjSQnDM",,,#Refugee #Europe,642483075839078401,https://twitter.com/MGedi_/status/642483075839078401
2015-09-11 23:41:11,GZeroConspiracy,,0,0,0,"The real story behind the refugee /migrant crisis in Europe is stranger than fiction http://www. ground-zero.biz/showthread.php ?tid=62294&pid=203984#.VfNmlXys-wU.twitter …",,,#,642483052644429825,https://twitter.com/GZeroConspiracy/status/642483052644429825
2015-09-11 23:41:10,gardenofthegods,,0,2,0,"Islamists Start Radicalising Refugees as Soon as They Arrive in Europe http:// ln.is/www.breitbart. com/lo/uQSTI … WHAT DO U THINK WILL HAPPEN HERE? SAME THING!",,,,642483049645645824,https://twitter.com/gardenofthegods/status/642483049645645824
2015-09-11 23:41:05,ILYSoMuchGirl,,0,0,0,"Info by TheBitcoinNews: BitNation’s Emergency Refugee Responds to Europe ’s Lack of Union - … pic.twitter.com/5mTSa9YR6t",,,,642483028216926208,https://twitter.com/ILYSoMuchGirl/status/642483028216926208
2015-09-11 23:40:36,alinneabryan,,0,1,0,"These dear people! My heart breaks for them. Quick video interviews different refugees headed to Europe . #refugees http:// edition.cnn.com/videos/world/2 015/09/10/voices-of-refugees-orig.cnn/video/playlists/trending-video/ …",,,#refugees,642482909325094913,https://twitter.com/alinneabryan/status/642482909325094913
2015-09-11 23:40:03,DailyStarLeb,,0,1,1,"Scant sympathy for refugees in Europe ’s ex-communist east http:// bit.ly/1Q7v2yf",,,,642482767104708608,https://twitter.com/DailyStarLeb/status/642482767104708608
2015-09-11 23:39:42,DakenShadow,,0,0,0,"Mi è piaciuto un video di @YouTube : http:// youtu.be/KVV6_1Sef9M?a Understanding the Refugee Crisis in Europe , Syria, and around the World",,@YouTube,,642482679108227072,https://twitter.com/DakenShadow/status/642482679108227072
2015-09-11 23:39:37,acadiansiren71,,0,0,0,"NEW PICTURES SHOWN IN EUROPE terrorist infiltrators as refugees http:// po.st/Jyih5h via @Freedom_Daily",,@Freedom_Daily,,642482658199539712,https://twitter.com/acadiansiren71/status/642482658199539712
2015-09-11 23:39:29,Dulcie43,cjwerleman,0,1,1,"recent comments read from Europeans re: refugees , it appears to be thriving in Europe also https:// twitter.com/cjwerleman/sta tus/642406971035938817 …",,,,642482625718976512,https://twitter.com/Dulcie43/status/642482625718976512
