Date,Close,Polarity,Prediction,Subjectivity
2017-08-16,92.09,0.10630731222577411,0,0.5456369044045483
2017-08-17,90.65,0.03511765137484078,0,0.5584439146402346
2017-08-18,90.74,0.04455271232939226,0,0.4769848766736115
2017-08-21,90.63,-0.09841629278674317,0,0.43648773511295225
2017-08-22,91.56,-0.09465155981584551,0,0.3985599429670828
2017-08-23,91.67,0.0598763538832709,0,0.4513840918633413
2017-08-24,91.52,0.044836997797524175,0,0.5174365944322088
2017-08-25,91.89,0.03664901295089043,0,0.5226548992655718
2017-08-28,91.6,0.11036031470047879,0,0.5230846974822387
2017-08-29,91.1,0.12267363005808377,0,0.4710151030109013
2017-08-30,91.31,0.12703678922428926,0,0.46731687856687876
2017-08-31,90.89,0.06675559840235608,0,0.5443597789203586
2017-09-01,91.7,-0.058681465189529866,0,0.4952365423306283
2017-09-05,89.51,0.08000623164313642,0,0.4972201894225702
2017-09-06,90.11,0.053293089963258045,0,0.41519644221324886
2017-09-07,88.53,0.034281844185006634,0,0.43136416290795143
2017-09-08,88.42,0.07588824453355439,0,0.3650468965397778
2017-09-11,89.79,0.10736011425040665,0,0.40795428832397007
2017-09-12,90.89,0.04710312649541817,0,0.5093237211553893
2017-09-13,91.15,0.058764339112134086,0,0.5477349370425512
2017-09-14,90.97,0.08194436228853749,0,0.5321444617049499
